beta,delta,mape
0.3648,0.6808,0.302668035030365
0.3648,0.7124,0.3403359651565552
0.3648,0.7440,0.4120416045188904
0.3648,0.7756,0.46749433875083923
0.3648,0.8072,0.5797197222709656
0.3648,0.8388,0.7010698914527893
0.3648,0.8704,0.8010764122009277
0.3648,0.9020,0.925444483757019
0.3648,0.9336,1.1071010828018188
0.3648,0.9652,1.242511510848999
0.3648,0.9968,1.3298254013061523
0.3648,1.0284,1.4449334144592285
0.3648,1.0600,1.629379153251648
0.3648,1.0916,1.984307885169983
0.3648,1.1232,2.623600721359253
0.3648,1.1548,5.209024429321289
0.3648,1.1864,8.803230285644531
0.3648,1.2180,11.017227172851562
0.3964,0.2700,0.42613378167152405
0.3964,0.3016,0.24189716577529907
0.3964,0.3332,0.18823565542697906
0.3964,0.3648,0.14983691275119781
0.3964,0.3964,0.08404858410358429
0.3964,0.4280,0.0684204027056694
0.3964,0.4596,0.055487871170043945
0.3964,0.4912,0.05043043568730354
0.3964,0.5228,0.05129417032003403
0.3964,0.5544,0.048598211258649826
0.3964,0.5860,0.07609846442937851
0.3964,0.6176,0.07484924793243408
0.3964,0.6492,0.1090514287352562
0.3964,0.6808,0.139751598238945
0.3964,0.7124,0.17750981450080872
0.3964,0.7440,0.2137114703655243
0.3964,0.7756,0.25870001316070557
0.3964,0.8072,0.32129013538360596
0.3964,0.8388,0.40145397186279297
0.3964,0.8704,0.5257681012153625
0.3964,0.9020,0.6092212200164795
0.3964,0.9336,0.8097543716430664
0.3964,0.9652,0.8672246932983398
0.3964,0.9968,0.903056263923645
0.3964,1.0284,0.9474166631698608
0.3964,1.0600,1.018459439277649
0.3964,1.0916,1.1583722829818726
0.3964,1.1232,1.4485797882080078
0.3964,1.1548,2.1691412925720215
0.3964,1.1864,6.372335433959961
0.3964,1.2180,9.136354446411133
0.4280,0.2700,0.400748074054718
0.4280,0.3016,0.21507087349891663
0.4280,0.3332,0.10898852348327637
0.4280,0.3648,0.08114004880189896
0.4280,0.3964,0.0804455429315567
0.4280,0.4280,0.09978872537612915
0.4280,0.4596,0.09830275923013687
0.4280,0.4912,0.09061816334724426
0.4280,0.5228,0.08940243721008301
0.4280,0.5544,0.0905165746808052
0.4280,0.5860,0.09787242114543915
0.4280,0.6176,0.12198612838983536
0.4280,0.6492,0.1641499102115631
0.4280,0.6808,0.21359802782535553
0.4280,0.7124,0.18527589738368988
0.4280,0.7440,0.2572457790374756
0.4280,0.7756,0.4874192476272583
0.4280,0.8072,0.4151946008205414
0.4280,0.8388,0.3832147717475891
0.4280,0.8704,0.3710170388221741
0.4280,0.9020,0.3982822597026825
0.4280,0.9336,0.44520407915115356
0.4280,0.9652,0.5081867575645447
0.4280,0.9968,0.5878310799598694
0.4280,1.0284,0.6794543862342834
0.4280,1.0600,0.7761807441711426
0.4280,1.0916,0.8809036016464233
0.4280,1.1232,1.0195938348770142
0.4280,1.1548,1.1972136497497559
0.4280,1.1864,1.4984368085861206
0.4280,1.2180,2.521981954574585
0.4596,0.2700,0.3958168029785156
0.4596,0.3016,0.16724331676959991
0.4596,0.3332,0.04839867725968361
0.4596,0.3648,0.07448067516088486
0.4596,0.3964,0.1073579341173172
0.4596,0.4280,0.12291792780160904
0.4596,0.4596,0.12266551703214645
0.4596,0.4912,0.11451876163482666
0.4596,0.5228,0.10546664893627167
0.4596,0.5544,0.10187371075153351
0.4596,0.5860,0.10488256067037582
0.4596,0.6176,0.11473958194255829
0.4596,0.6492,0.14058633148670197
0.4596,0.6808,0.1653183251619339
0.4596,0.7124,0.19192343950271606
0.4596,0.7440,0.23043419420719147
0.4596,0.7756,0.21930912137031555
0.4596,0.8072,0.23298758268356323
0.4596,0.8388,0.27105891704559326
0.4596,0.8704,0.33252835273742676
0.4596,0.9020,0.33457255363464355
0.4596,0.9336,0.38524526357650757
0.4596,0.9652,0.44363486766815186
0.4596,0.9968,0.5058321952819824
0.4596,1.0284,0.5685296654701233
0.4596,1.0600,0.5917242765426636
